reqalts , what about spanish food
ack , okay and what about the address
request , phone number
inform , south
request , can i get the phone number and address
affirm , yes
inform , hey im looking for a restaurant in the west part of town
thankyou , thank you
inform , i dont care
inform , that serves restaurant in south part of town
reqalts , how about an expensive restaurant
reqalts , okay how about asian oriental
inform , indian food
reqalts , what about spanish type of food
thankyou , thank you good bye
reqalts , is there anything ele
inform , any
thankyou , thank you good bye
null , noise
request , and the phone number
reqalts , anything else
inform , vietnamese
request , what is the address and phone number
request , can i have the phone number
thankyou , thank you goodbye
bye , okay thank you and good bye
inform , it doesnt matter
request , what is the address
thankyou , thank you good bye
thankyou , thank you good bye
reqalts , how about french food
null , can i
inform , i need to find one in the south part of town
inform , i dont care
affirm , yes
request , and whats their phone number
null , sil
inform , i dont care
inform , crossover food
inform , any
inform , ah i dont care
inform , dont care
request , type of food
inform , any
thankyou , thank you good bye
request , may i have its number
request , what type of food
reqalts , what about european food
inform , malaysian food
null , sil
inform , i dont care
affirm , yes
reqalts , is there anything else
request , address
null , unintelligible
inform , asian oriental type of food
request , type of food
request , and whats their phone number
null , sil
reqalts , is there anything else
inform , moderately priced food
negate , no
inform , mediterranean food
inform , okay ah how bout portuguese food
affirm , yes
reqalts , anything else
request , address
request , address
inform , cheap restaurant welsh food
thankyou , thank you good bye
request , may i have their address please
inform , id like thai food
inform , im looking for a restaurant in the center of town
request , phone number
bye , good bye
thankyou , thank you good bye
inform , korean
request , type of food
inform , any price range
thankyou , thank you good bye
request , and what is the price range
null , system
request , whats the phone number
request , phone number
negate , no
request , address
null , unintelligible
request , can i have the address
bye , very good thank you good bye
null , left
inform , south
null , sil
inform , moderately priced restaurant south part of town
request , phone number
request , what is the address
thankyou , thank you good bye
request , post code
inform , did you see a korean restaurant
null , sil
affirm , right
request , can i have the address and phone number
request , may i have the address
reqalts , is there a restaurant serving turkish food
request , address
inform , i dont care
thankyou , thank you goodbye
inform , i dont care
request , and whats the phone number
bye , bye
request , can i have the address please
request , address
inform , can i get a moderate restaurant in the south part of town
request , address
inform , any
affirm , yes
null , sil
thankyou , thank you good bye
inform , dont care
thankyou , thank you good bye
inform , indian
request , whats the phone number
null , inaudible
inform , malaysian food in the south part of town
null , okay
thankyou , thank you good bye
thankyou , thank you good bye
request , what part of town is it
inform , north american food
thankyou , thank you good bye
request , can i have the address phone number and price range
request , what food do they serve
thankyou , thank you good bye
inform , west part of town cuban food
request , what is the address and phone number
inform , im looking for a moderately priced restaurant
affirm , right
inform , i dont care
thankyou , thank you good bye
affirm , right
request , whats the phone number
request , and what kind of food does the venue ser
inform , uh korean food
inform , i want to find a cheap re
bye , okay thank you and good bye
request , okay can i have the phone number
request , whats the address
request , what is the address phone number and price range
request , can i have the address
inform , south part of town
inform , moderately priced restaurant halal food
inform , north
inform , center
inform , id like a cheap restaurant in the east part of town
inform , im looking for russian food in the center of town
request , telephone number
reqalts , okay how about any part of town
request , price range
thankyou , thank you good bye
inform , any food
request , can i get the address
thankyou , thank you good bye
request , phone number
inform , i would like to find an expensive restaurant in the south part of town
inform , moderate
inform , i am looking for a singaporean restaurant in the north part of town
thankyou , thank you good bye
inform , im looking for a cheap restaurant in the east part of town
affirm , yes
inform , romanian
inform , seafood
request , uh what type of food
inform , pan asian food
bye , see you goodbye
confirm , is there a modern european
request , phone number
thankyou , thank you good bye
inform , dont care
affirm , yes
inform , does not matter
null , sil
inform , afghan food
thankyou , thank you good bye
inform , any kind
inform , asian oriental
inform , im looking for a moderately price restaurant that serves halo food
inform , looking for welsh food
inform , moderately priced
reqalts , how about indian food
reqalts , how about in the center
inform , east part of town
thankyou , thank you good bye
inform , i would like vietnamese food
thankyou , thank you good bye
inform , indian food
inform , doesnt matter
request , whats the price range
inform , moderate
request , whats the phone number
reqalts , anything else
thankyou , thank you good bye
inform , chinese food
null , um that serves
request , whats the address
negate , no
inform , im looking for african food
thankyou , thank you good bye
inform , asian oriental
inform , european food
inform , anywhere
inform , im looking for a restaurant in the south part
inform , international food
inform , italian
inform , spanish
affirm , uh yes i need the north part of town
inform , im looking for a restaurant that serves mexican food
request , okay whats the phone number
request , what is the price range
request , whats the phone number
null , child
request , phone number
request , what is the phone number
null , system
null , inaudible
inform , any
reqalts , is there anything else
affirm , yes
reqalts , how about indian food
request , uh price range
thankyou , thank you
request , the post code
inform , dont care
request , post code
thankyou , thank you goodbye
request , what is the phone numbere
inform , is there an indian restaurant in the south of town
thankyou , thank you good bye
inform , north part of town
reqalts , is there anything else
inform , im looking for a restaurant in the east part of town
inform , uh the north
thankyou , thank you good bye
request , whats the address
request , what is the address
thankyou , thank you good bye
inform , traditional food
inform , russian food
request , price
reqalts , how about chinese
request , address
thankyou , thank you good bye
request , whats the address noise
thankyou , thank you good bye
thankyou , okay thank you good bye
request , and the area
request , may i have the address phone number and post code
thankyou , thank you good bye
thankyou , thank you
thankyou , thank you good bye
request , address
inform , doesnt matter
reqalts , how about korean food
request , post code
request , postcode
inform , im looking for a restaurant in the west part of town
request , what is the address
reqalts , what about australian asian
inform , east part of town
request , whats the address and phone number
affirm , yes
inform , im looking for a moderately priced restaurant in the south part of town
inform , im looking for a cheap spanish restaurant
request , whats the address
request , what type of food does the venue serve
inform , west
thankyou , thank you good bye
thankyou , thank you good bye
inform , moderately priced
inform , cheap price range
reqalts , um how about a restaurant in the center with int
request , the phone number
request , address
negate , no
null , unintelligible
request , the phone number for bloomsbury
reqalts , next
inform , well what about chinese food
affirm , yes
reqalts , what about european
thankyou , thank you good bye
thankyou , thank you goodbye
request , what is the address
null , unintelligible
inform , i dont care
inform , thai food
request , whats the phone number
inform , id like thai food
request , what is the post code
reqalts , how about portuguese
inform , center
inform , thai
request , may i have its phone number
inform , looking for an expensive restaurant that serves afghan food
affirm , yes
inform , moderate
inform , serving portuguese food
inform , italian food
inform , i dont care
inform , korean
reqalts , how about chinese
inform , italian food in the center
request , phone number
inform , french
inform , uh it doesnt matter
request , can i have the phone number and price range
thankyou , thank you good bye
inform , south part of town
reqalts , how about indian food
inform , north
null , noise
request , what is the address
inform , south
reqalts , how about india
inform , im looking for um
request , phone number
request , area
inform , doesnt matter
thankyou , thank you good bye
inform , west part of town
inform , afghan food
inform , cheap restaurant
inform , i do not care
inform , chinese food
inform , a restaurant in the west part of town should serve crossover food
inform , im looking for a cheap restaurant
thankyou , thank you good bye
request , location
thankyou , thank you good bye
inform , um im looking for a cheap restaurant
request , type of food does it serve
null , noise
inform , danish
inform , any price range
inform , italian food
inform , i need a moderately priced restaurant
inform , cantonese
request , what is the area
request , what is the phone number
inform , swedish food
thankyou , thank you good bye
thankyou , thank you good bye
thankyou , thank you good bye
bye , good bye
negate , no
reqalts , how about a moderately priced restauran
null , unintelligible
inform , traditional
inform , basque
inform , uh italian
inform , i dont care
request , whats the price range
inform , the center of town
request , phone number
thankyou , thank you good bye
inform , expensive restaurant
negate , no
negate , no
inform , any
request , what is the post code
thankyou , thank you good bye
reqalts , how about a portuguese restaurant
thankyou , thank you good bye
thankyou , okay thank you good bye
negate , no
inform , south
request , telephone number
inform , in the east part of town
request , phone number
inform , north part of town
null , type
request , whats their address
inform , cheap restaurant
inform , chinese
null , sil
request , and the post code
request , phone
request , type of food
inform , cheap
inform , any
inform , i dont care
reqalts , how about vietnamese type of food
affirm , yes can i get an expensive restaurant in the south part of town
request , okay give me address
inform , cheap restaurant in the west part of town
reqalts , anything else
inform , moderate
affirm , yes
inform , i dont care
request , address
inform , dont care
inform , south of south of town
thankyou , thank you good bye
request , phone number
inform , can i get a restaurant with vegetarian food
request , cool whats the address
thankyou , thank you good bye
request , address
thankyou , thank you good bye
thankyou , thank you good bye
reqalts , how about thai food
inform , any type of food
request , can i get the phone number
null , noise
null , noise
thankyou , thank you good bye
thankyou , thank you good bye
request , whats the phone number and address
request , phone number
request , address
reqalts , is there anything else
inform , inexpensive
request , whats the address
inform , any price range
inform , any
inform , im looking for a moderately priced restaurant in the north
request , and the phone number
request , and the phone number
request , phone number
affirm , yes
inform , cheap price range
inform , expensive restaurant
request , and what about the phone number
request , phone number
request , what is the post code
request , what is the address and phone number
inform , any
inform , i need chinese food
inform , id like a cheap restaurant in the north part of town
inform , looking for romanian food in the center of town
inform , french
inform , restaurant
thankyou , thank you good bye
reqalts , is there anything else
inform , any price range
thankyou , thank you good bye
thankyou , thank you good bye
request , phone number
inform , im looking for a moderately priced restaurant in the east part of town
reqalts , how about indian food
request , phone number
thankyou , thank you good bye
request , telephone
reqalts , anything else
request , okay phone number
inform , i dont care
thankyou , thank you good bye
request , can i get the phone number
inform , african
affirm , right
repeat , again please
thankyou , thank you good bye
inform , it doesnt matter
affirm , yes
bye , you good bye
bye , good bye
request , whats the address
request , whats the address
thankyou , thank you good bye
null , okay
request , phone number
inform , i need lebanese food in the east
inform , i need a cheap restaurant that serves romanian food
request , can i have the address
reqalts , uh what about italian food
request , whats the address and phone number
inform , im looking for a restaurant in the east part of town that serves hungarian food
request , okay good whats the address for that one
null , background_speech
thankyou , thank you good bye
inform , i do not care
thankyou , thank you good bye
request , whats their address and phone number
thankyou , okay um thank you good bye
bye , good bye
inform , indian food
inform , greek food
null , range that serves cana
inform , im looking for a cheap restaurant in the east part of town
thankyou , thank you goodbye
affirm , correct
inform , south
inform , id like a moderately priced restaurant
request , address
inform , any
request , phone number
null , unintelligible
thankyou , thank you
thankyou , thank you good bye
inform , west
negate , no im looking for eritrean food
thankyou , thank you good bye
inform , chineese
reqalts , how about european type of food
inform , east part of town
reqalts , how about chinese food
reqalts , anything else
request , whats the phone number
affirm , yea
null , noise
request , what kind of food
inform , doesnt matter
reqalts , how about the center area
inform , uh expensive european food
inform , im looking for something moderately priced
inform , im looking for a cheap restaurant in east part of town
thankyou , thank you good bye
inform , north american food
inform , moderately priced restaurant in the west part of town
reqalts , is there anything else
request , what area
inform , dont care
inform , expensive
inform , expensive
inform , west
inform , chinese food
thankyou , thank you good bye
reqalts , is there anything else
reqalts , how about italian food
null , um
request , in the area
inform , im looking for an expensive restaurant serving kitalian food
inform , north
inform , british food
null , im sorry
request , phone number
request , restaurant two two phone number
thankyou , thank you good bye
inform , how about in the west area
request , phone number
affirm , right
request , okay can i have the rest of the address for da vinci
request , what price range
inform , cheap price range
request , whats the phone number
inform , im looking for a restaurant that serves world food
affirm , yes
affirm , yes
request , okay can i have the phone number
reqalts , is there anything else
negate , no catalan
inform , in a moderate price range
inform , north part of town
request , and the address
null , noise
request , phone number
inform , spanish
request , address
request , what area is it in
inform , european
request , what the address
affirm , yes
thankyou , thank you good bye
restart , uh start over
request , what area
request , okay may i have the address and phone number
inform , cheap
bye , good bye
request , whats the address
request , what is the address and phone and postal code
inform , french food
inform , vietnamese
thankyou , thank you good bye
thankyou , noise thank you goodbye
null , sil
thankyou , thank you good bye
null , noise
request , phone number
inform , cheap restaurant
inform , dont care want afghan food afghan food afghan
inform , im looking for an expensive restaurant that serves
inform , i want to find a restaurant in the west part of town that serves english food
request , okay what is the phone number
thankyou , thank you good bye
thankyou , thank you good bye
inform , thai food
reqalts , another type of food
reqalts , is there anything else
inform , uh medium
inform , iam looking for a restaurant in the center
request , what is the address
reqalts , anything else
reqalts , what about italian food
request , can i have the phone number
inform , gastropub food
inform , find restaurant serving asian
inform , if there is no such venue how about vietnamese type of food
inform , i need jamaican food
inform , food
inform , italian food west part of town
request , phone number
inform , korean
request , phone number
inform , signapore
inform , im looking for seafood
inform , turkish food
thankyou , thank you good bye
reqalts , how about caribbean food
inform , north
thankyou , thank you good bye
request , can i have the phone number of the venue
inform , oh i dont care
inform , polish food
inform , im looking for a restaurant that serves african food
request , address
inform , any type
inform , i dont care
inform , dont care
inform , indian food
inform , im looking for a cheap restaurant
thankyou , thank you good bye
inform , center
request , what type of food do they serve
inform , center
request , what is the phone number
request , phone number
request , address
thankyou , thank you good bye
inform , cheap
thankyou , thank you good bye
inform , im looking for a modertley priced restaurant in the south
thankyou , thank you good bye
request , whats its address
thankyou , thank you and good bye
request , what is the post code
request , address
request , price range
affirm , ye
request , and whats their address
negate , no
inform , dont care
thankyou , thank you
thankyou , okay thank you good bye
null , unintelligible
request , what is the address
reqalts , how about portuguese
request , whats the phone number
inform , any
thankyou , thank you
request , whats the post code
thankyou , thank you good bye
thankyou , thank you good bye
reqalts , how about european food
request , phone number
request , uh what its phone number
null , unintelligible
request , whats the address and phone number
thankyou , thank you good bye
reqalts , what about gastropub
request , part of town
request , what is the address
inform , im looking for a restaurant in the north part of town that serves african food
inform , a cheap restaurant in
inform , italian
null , viet
inform , i would like a cheap restaurant
inform , i dont care
inform , danish
inform , i dont care
inform , chinese
negate , no
thankyou , thank you good bye
thankyou , thank you goodbye
thankyou , thank you good bye
reqalts , is there anything else
inform , im looking for a
inform , french
inform , venetian food
inform , im looking for a moderately priced restaurant in the west part of town
reqalts , how about vietnamese food
inform , id like an expensive restaurant that serves mediteranean food
confirm , does it serve canapes food
request , whats the address
inform , im looking for a moderately priced restaurant in the south
thankyou , thank you goodbye
inform , dont care
inform , i dont care
inform , mediterranean food
inform , christmas food
affirm , yes
inform , im looking for a restaurant in any area that servess
inform , im looking for kosher food in the west side
inform , thai food
reqalts , what about spanish
inform , moderately priced restaurant
inform , i dont care
reqalts , is there a restaurant serving modern european food
reqalts , how about british food
inform , west
request , phone number
null , what is the
request , and their phone number
request , what is the area
thankyou , um okay thank you good bye
inform , indian
inform , it doesnt matter
inform , spanish food
thankyou , thank you good bye
inform , any
deny , no i dont want chinese i want thai food
request , what area
affirm , yes
null , unintelligible
inform , any
inform , i want to find a restaurant in the east part of town that serves basque food
reqalts , uh are there any restaurants serving chinese
request , phone number
thankyou , okay thank you good bye
inform , singapore
inform , vegetarian
hello , hi
request , address
request , ok how about a restaurant and phone number
thankyou , thank you good bye
thankyou , thank you good bye
request , can i get the address and phone number
thankyou , good bye thank you
inform , any kind
request , phone number
affirm , right
request , whats the address
inform , polynesian food
inform , moderately priced
inform , it doesnt matter
inform , moderately priced restaurant that serves fusion food
request , address
inform , north
null , serving in
thankyou , thank you good bye
request , whats the phone number
inform , mediterranean food
affirm , yes
inform , im looking for a restaurant in the north
request , okay and uh the phone number
inform , expensive restaurants
inform , italian food
request , whats the address
inform , italian food
inform , danish food
null , unintelligible
reqalts , anything else
thankyou , thank you good bye
thankyou , thank you good bye
inform , it serves turkish food
reqalts , next
reqalts , is there anything else
affirm , yes
hello , hello
affirm , ye
request , price range
inform , cheap restaurant
thankyou , thank you good bye
null , unintelligible
reqalts , is there anything else
inform , restaurant south part of town english food
request , what area
request , address
inform , uh it doesnt matter
request , what is the phone number
reqalts , what about british
request , and the area
request , address
inform , it doesnt matter
inform , im looking for a moderately priced restaurant
request , whats the phone number
inform , thai
inform , moderately priced
request , what is the address
thankyou , thank you goodbye
inform , moderate
thankyou , thank you goodbye
affirm , yes
inform , asian oriental
inform , cheap list
request , whats the post code
thankyou , thank you good bye
request , what is the price range
reqalts , do you have anything else
affirm , uh huh
thankyou , thank you good bye
request , address
request , phone number
inform , any kind of food
reqalts , how about indian food
inform , i want scottish food
request , may i have the address
request , type of food
request , can i have the phone number
inform , european
inform , corsica food
inform , creative food
request , whats the phone number
request , phone number
request , address
affirm , yes
request , what is the phone number and address
request , whats the address
inform , im looking for an italian restaurant in the east part of town
negate , no
inform , i want a moderately priced restaurant in the south part of town
inform , can i get tuscan
inform , italian food
inform , west side
affirm , yes
inform , korean
null , sil
affirm , correct
reqalts , how about indian food
inform , expensive
request , and the phone number
request , phone number
affirm , right
null , noise
inform , north part of town
request , whats the address
request , whats the phone number
inform , traditional food
inform , chinese food
confirm , is it moderately priced
request , phone number
null , noise
negate , no romanian
request , address phone number postcode
inform , im looking for a restaurant in the north part of town serving kosher food
thankyou , thank you good bye
inform , australian food
inform , any thing
thankyou , thank you goodbye
inform , tuscan
inform , i dont care
inform , any type
inform , i dont care
request , can i have an address and phone number
inform , its a restaurant in the south of town that serves italian food
inform , cheap restaurant
null , okay
request , tell me the phone number
inform , it doesnt matter
affirm , yes
inform , i dont care
inform , moderately priced restaurant in the west
inform , it does not matter
inform , cheap
inform , fucking west
request , the address
inform , moderately priced west of town
inform , in the east part of town
affirm , yes
inform , turkish food
inform , something catalan food
request , whats the phone number
request , and what type of food
inform , swedish
thankyou , thank you good bye
inform , im looking for a restaurant in the north part of town serving in
inform , moderately priced
request , what is the post code
null , first one
request , can i have the address
inform , thai
thankyou , thank you good bye
inform , hungarian
thankyou , thank you good bye
reqalts , what else is there
inform , i dont care
request , part of town
request , phone
request , can i have the address and phone number please
inform , restaurant in the north part of
thankyou , thank you good bye
reqalts , what about thai food
inform , im looking for a restaurant in the south part of town that serves french food
thankyou , thank you good bye
inform , i dont care
reqalts , how about in any area
inform , mediterranean food
request , what is the address
reqalts , what about the east part of town
inform , korean
inform , is there staurant that serves unusual food
reqalts , how about french
inform , south area
request , address
inform , i dont care but i want it to be in the east part of town
inform , east
request , address
request , address
inform , unintelligible food
inform , i would like modern european food
thankyou , thank you good bye
request , can i have the post code
thankyou , thank you good bye
null , noise
inform , south
thankyou , thank you good bye
thankyou , thank you good bye
request , phone number
inform , i dont care
inform , south part of town
inform , can i get a restaurant
inform , do you have chinese food
inform , im looking for a restaurant in the center of town
inform , jamaican food
inform , im looking for an expensive restaurant
thankyou , thank you good bye
bye , bye
inform , in the west part of town
thankyou , thank you good bye
inform , any price range
affirm , uh yes can i find a cheap restaurant in the north part of town
reqalts , anything else
thankyou , thank you good bye
thankyou , thank you good bye
inform , i dont care
request , whats their address
inform , indian food
inform , moderately priced south of town
affirm , yes
request , can i have the phone number
request , what type of food is it
thankyou , thank you good bye
request , and the post code
inform , moderate
inform , south
request , whats the address
thankyou , thank you good bye
negate , no
request , phone number
inform , i would like a restaurant that serves korean food
request , what type of food do they serve
inform , hungarian food
inform , west
inform , im looking for a cheap restaurant in the east part of to
inform , ok what about indian
inform , italian
request , can i have the phone number
request , whats their phone number
reqalts , is their anything else
thankyou , thank you good bye
thankyou , thank you good bye
reqalts , how about indian food
thankyou , thank you good bye
thankyou , thank you good bye
inform , id like a restaurant in the center with russian food
affirm , yes that serves chinese food
affirm , yes
null , sil
inform , european food
request , and the phone number
thankyou , thank you good bye
thankyou , thank you good bye
inform , dont care east part of town
request , the address
request , what is the phone number
affirm , yes south part of town
request , address
inform , expensive
inform , turkish
reqalts , anything else
inform , uh any
inform , moderately
request , serves what
affirm , yes
request , what is the address
reqalts , anything else
request , and the type of food
inform , any
inform , i dont care
thankyou , thank you good bye
inform , in the west
bye , unintelligible good bye
inform , asian oriental
confirm , is it in the moderate price range
null , unintelligible
request , what is the phone number
null , noise
null , noise
request , phone number
affirm , yes
inform , i dont care
inform , food
inform , west part of town
thankyou , thank you good bye
request , phone number
inform , expensive
inform , vietnamese
affirm , yes
inform , unintelligible food
thankyou , thank you good bye
null , noise
request , phone number
inform , im looking for a moderately priced restaurant
null , unintelligible
inform , halal
inform , i dont care
inform , north american
inform , italian
inform , centre
inform , i dont care
request , can i get the phone number
thankyou , thank you good bye
inform , uh it doesnt matter
thankyou , thank you good bye
inform , im looking for a restaurant in the south part of town
thankyou , thank you goodbye
inform , are they expensive
inform , im looking for a moderately priced restaurant in the east part
inform , french food
thankyou , thank you good bye
request , address
inform , creative food
request , area
request , whats the address
request , whats the address and phone number
inform , moderate
thankyou , thank you good bye
null , noise
inform , ah centre
inform , in the south
request , phone number
inform , expensive restaurant in the south of town
inform , in the south part of town
inform , noise im looking for a cheap restaurant in the south part of town
inform , gastropub
inform , swiss
thankyou , thank you good bye
negate , no im looking for thai food
thankyou , thank you good bye
request , the post code
thankyou , thank you good bye
request , the price range
inform , belgium
request , phone number
inform , american
request , phone number
null , sil
bye , good bye
inform , i dont care
bye , k you goodbye
inform , im looking for an expensive restaurant in the east part of town
inform , c h e a p cheap
request , phone number
thankyou , thank you good bye
request , great can i have the address and phone number
inform , scandinavian food
request , what area of town
request , uh whats the phone number and post code
affirm , yes that serves korean food
inform , it doesnt matter
request , address
inform , east part of town
thankyou , thank you good bye
inform , west
request , and the post code
inform , i want a singaporean food restaurant in the center
inform , im looking for a moderately priced restaurant serving world food
inform , jamaican
inform , moderately priced restaurant
inform , like to find a restaurant in the east part of town and it should serve indian food
inform , romanian
inform , i need a cheap restaurant in the west part of town
null , is there
inform , chinese food
thankyou , thank you goodbye
inform , moderately priced danish food
inform , cuban food
inform , i need a restaurant
null , noise
request , and the phone number
inform , that serves takes out food
request , and whats their phone number
null , noise
null , what do you recommend
reqalts , is there anything that serves caribbean food
request , phone number
negate , no thank you good bye
thankyou , thank you good bye
inform , vietnamese
request , phone number
request , what type of food is it
inform , russian
thankyou , thank you good bye
thankyou , thank you good bye
request , and what is the post code
request , and the phone number
null , unintelligible
inform , gastropub moderate
inform , find me a portuguese restaurant
request , its a type of food
inform , i dont care
inform , i dont care
inform , kosher food
thankyou , thank you good bye
request , phone number
thankyou , thank you good bye
inform , an expensive restaurant
inform , venue
inform , american
request , address
inform , im looking for a restaurant in the north part of town
request , what is the address noise
inform , afghan
inform , i would like one thats moderately priced
bye , see you goodbye
request , phone number
request , what is the phone number
thankyou , thanks us
thankyou , thank you good bye
request , what is address and phone number
request , post number
reqalts , how about british restaurants
inform , im looking for a restaurant in the east part of town that serves international
reqalts , anything else
request , and whats the price range
thankyou , thank you good bye
inform , thai thai
inform , cheap
inform , expensive
null , bad
inform , asian
inform , i dont care
request , can i have the address and phone number
request , can i have the address
inform , british food north part of town
affirm , yeah
reqalts , is there a restaurant in the south part of town that serves indian food
thankyou , thank you good bye
request , address
inform , italian
inform , any kind
inform , im looking for french food
null , sil
request , does it serve
inform , im looking for a restaurant in the south part of town serving korean food
inform , greek food
request , type of food
request , what is their phone number
thankyou , thank you good bye
thankyou , thank you
inform , south
affirm , yes
inform , chinese food
inform , any kind
reqalts , how about asian oriental type of food
thankyou , thank you good bye
inform , venetian
inform , looking for persian food
request , type of food
inform , a cheap restaurant in the west part of town
reqalts , how about mediterranean food
inform , pan asian food
affirm , yes
affirm , yes
reqalts , how about korean food
thankyou , thank you good bye
negate , no
inform , vietnamese food
affirm , yes
request , could i get their phone number please
thankyou , thank you good bye
request , the address
thankyou , thank you good bye
affirm , yes
inform , anywhere
inform , korean
inform , british food
inform , expensive restaurant south part of town
reqalts , what about french food
inform , sea food
inform , i am looking for a restaurant in the north part of town it shou
request , whats the address
null , unintelligible
request , address
request , and what area is that
inform , im looking for a cheap restaurant
request , whats the address
request , phone number
inform , british
request , price
request , what type of food does it serve
thankyou , thank you
request , address
thankyou , thank you good bye
null , noise
inform , gastropub food
thankyou , thank you good bye
reqalts , how about chinese
request , what is the address
inform , i dont care
inform , singapore
inform , any area
null , noise
thankyou , thank you good bye
request , what is what area is it in
request , what kind of food do they serve
request , and their address
inform , any kind in the east part of town
inform , jamaican
thankyou , thank you good bye
request , whats the address
inform , any
inform , european food
negate , no
inform , international food
inform , im looking for belgian food
request , whats the phone number
thankyou , thank you good bye
reqalts , what about turkish food
thankyou , thank you goodbye
request , can i have the phone number
affirm , yes
null , noise
inform , and it should be in the south part of town
inform , it doesnt matter
request , the phone number
inform , cheap restaurant
reqalts , um do you have anything else
request , phone number
request , what type of food does it serve
affirm , yes
request , what type of food do they ser
request , address
inform , gastropub food
request , phone number
thankyou , thank you good bye
inform , can i have a cheap restaurant in the west part of town
thankyou , thank you good bye
thankyou , thank you good bye
inform , moderately priced
inform , any
inform , french food
reqalts , what about vietnamese food
inform , im looking for a moderately priced restaurant uh serving halal food
inform , christmas food
request , whats the phone number
request , phone number
request , price range
affirm , uh yes can i get a cheap restaurant in the west part of town
request , what is the area
affirm , yes
thankyou , thank you good bye
thankyou , thank you good bye
null , sil
inform , halal
inform , cantonese food
affirm , yes im looking for a restaurant in the north part of town
request , what is the address
inform , portuguese food
inform , moderately priced
thankyou , thank you good bye
request , postcode
request , phone number
inform , moderately priced restaurant in the west part of town
inform , uh east
request , address
null , noise
request , address
request , whats the price range
request , can i get their phone number
request , may i get the address
inform , south
request , what is the address and post code
request , and phone number
inform , swedish food
inform , australian
inform , it doesnt matter
inform , what about a chinese restaurant in the north of town
inform , thai food
request , address
inform , moderate
request , can i get the address and phone number please
reqalts , what about british food
thankyou , thank you goodb
inform , fancy restaurant moroccan food
inform , eritrean
inform , any
request , what is the address of that venue
null , blow
inform , moderate
request , whats the phone number
null , sil
request , address and postcode
negate , no okay thats fine what about french food
inform , any
thankyou , thank you good bye
reqalts , is there anything else
inform , im looking for a cheap restaurant and it should serve polish food
request , oh where is it
inform , it doesnt matter
thankyou , thank you good bye
reqalts , uh anything else
request , whats the address
inform , international
null , sil
inform , asian oriental
request , what type of food do they serve
request , phone number
inform , cheap
